name,parallelism,operations,duration,frequency
DB_ReadPost/mutex_false/comment_rate_0,512,115959,9923,100775.9750075582
DB_ReadPost/mutex_false/comment_rate_0,1024,108987,10239,97665.7876745776
DB_ReadPost/mutex_false/comment_rate_0.01,1,21145,220189,4541.552938611829
DB_ReadPost/mutex_false/comment_rate_0.01,2,7384,199510,5012.280086211217
DB_ReadPost/mutex_false/comment_rate_0.01,4,10000,132413,7552.128567436732
DB_ReadPost/mutex_false/comment_rate_0.01,8,10000,130453,7665.596038419967
DB_ReadPost/mutex_false/comment_rate_0.01,16,7747,152902,6540.136819662267
DB_ReadPost/mutex_false/comment_rate_0.01,32,7086,186430,5363.94357131363
DB_ReadPost/mutex_false/comment_rate_0.01,64,5298,195498,5115.141842883303
DB_ReadPost/mutex_false/comment_rate_0.01,128,5065,214912,4653.067301965456
DB_ReadPost/mutex_false/comment_rate_0.01,256,4930,234963,4255.9892408591995
DB_ReadPost/mutex_false/comment_rate_0.01,512,4308,250929,3985.1910301320295
DB_ReadPost/mutex_false/comment_rate_0.01,1024,4280,280737,3562.052739752865
DB_ReadPost/mutex_false/comment_rate_0.1,1,1033,1226844,815.0995562598016
DB_ReadPost/mutex_false/comment_rate_0.1,2,1737,748694,1335.6591611526205
DB_ReadPost/mutex_false/comment_rate_0.1,4,2593,469046,2131.987054574605
DB_ReadPost/mutex_false/comment_rate_0.1,8,2752,450292,2220.7811819885765
DB_ReadPost/mutex_false/comment_rate_0.1,16,2211,531216,1882.473419475317
DB_ReadPost/mutex_false/comment_rate_0.1,32,1897,575323,1738.1540456404489
DB_ReadPost/mutex_false/comment_rate_0.1,64,1690,625988,1597.4747119753094
DB_ReadPost/mutex_false/comment_rate_0.1,128,1627,682988,1464.1545678694208
DB_ReadPost/mutex_false/comment_rate_0.1,256,1546,732875,1364.4891693672182
DB_ReadPost/mutex_false/comment_rate_0.1,512,1417,783806,1275.8259059001846
DB_ReadPost/mutex_false/comment_rate_0.1,1024,1290,860716,1161.8234121359426
DB_ReadPost/mutex_false/comment_rate_1,1,338,3788472,263.95866196186745
DB_ReadPost/mutex_false/comment_rate_1,2,555,2355569,424.5258788853139
DB_ReadPost/mutex_false/comment_rate_1,4,855,1517695,658.89391478525
DB_ReadPost/mutex_false/comment_rate_1,8,878,1485470,673.1876106552135
DB_ReadPost/mutex_false/comment_rate_1,16,727,1706684,585.9315491327042
DB_ReadPost/mutex_false/comment_rate_1,32,627,1962521,509.54868763187756
DB_ReadPost/mutex_false/comment_rate_1,64,540,2135492,468.2761630575062
DB_ReadPost/mutex_false/comment_rate_1,128,504,2712452,368.6701184020952
DB_ReadPost/mutex_false/comment_rate_1,256,468,3127953,319.69789827404696
DB_ReadPost/mutex_false/comment_rate_1,512,417,3243488,308.3100662003374
DB_ReadPost/mutex_false/comment_rate_1,1024,420,3035100,329.4784356363876
DB_ReadPost/mutex_true/comment_rate_0,1,104400,11179,89453.43948474819
DB_ReadPost/mutex_true/comment_rate_0,2,151627,8024,124626.12163509472
DB_ReadPost/mutex_true/comment_rate_0,4,220995,4922,203169.4433157253
DB_ReadPost/mutex_true/comment_rate_0,8,148369,7527,132855.05513484788
DB_ReadPost/mutex_true/comment_rate_0,16,143502,7258,137779.00248002206
DB_ReadPost/mutex_true/comment_rate_0,32,170532,8137,122895.41600098317
DB_ReadPost/mutex_true/comment_rate_0,64,158026,8904,112309.07457322552
DB_ReadPost/mutex_true/comment_rate_0,128,121773,9647,103659.1686534674
DB_ReadPost/mutex_true/comment_rate_0,256,119469,10019,99810.36031540074
DB_ReadPost/mutex_true/comment_rate_0,512,111870,10355,96571.70449058426
DB_ReadPost/mutex_true/comment_rate_0,1024,89302,11282,88636.76653075696
DB_ReadPost/mutex_true/comment_rate_0.01,1,18076,218931,4567.649168002704
DB_ReadPost/mutex_true/comment_rate_0.01,2,7726,193700,5162.622612287042
DB_ReadPost/mutex_true/comment_rate_0.01,4,10000,134094,7457.455217981416
DB_ReadPost/mutex_true/comment_rate_0.01,8,10000,138316,7229.821568003702
DB_ReadPost/mutex_true/comment_rate_0.01,16,8254,165835,6030.090149847741
DB_ReadPost/mutex_true/comment_rate_0.01,32,6577,196028,5101.312057461179
DB_ReadPost/mutex_true/comment_rate_0.01,64,5498,221949,4505.539560890114
DB_ReadPost/mutex_true/comment_rate_0.01,128,5294,249854,4002.3373650211724
DB_ReadPost/mutex_true/comment_rate_0.01,256,4395,284835,3510.80450085137
DB_ReadPost/mutex_true/comment_rate_0.01,512,4359,309570,3230.2871725296377
DB_ReadPost/mutex_true/comment_rate_0.01,1024,3904,350160,2855.8373315055974
DB_ReadPost/mutex_true/comment_rate_0.1,1,1080,1185423,843.580730254095
DB_ReadPost/mutex_true/comment_rate_0.1,2,1681,752467,1328.9619345433089
DB_ReadPost/mutex_true/comment_rate_0.1,4,2434,525502,1902.9423294297644
DB_ReadPost/mutex_true/comment_rate_0.1,8,2433,533381,1874.8324368509564
DB_ReadPost/mutex_true/comment_rate_0.1,16,2078,626738,1595.563058247625
DB_ReadPost/mutex_true/comment_rate_0.1,32,1922,693742,1441.458063660554
DB_ReadPost/mutex_true/comment_rate_0.1,64,1778,747349,1338.0629398045626
DB_ReadPost/mutex_true/comment_rate_0.1,128,1612,723652,1381.8796880268417
DB_ReadPost/mutex_true/comment_rate_0.1,256,1591,749407,1334.3883897534984
DB_ReadPost/mutex_true/comment_rate_0.1,512,1338,870851,1148.3020631543168
DB_ReadPost/mutex_true/comment_rate_0.1,1024,1344,873739,1144.5065402826244
DB_ReadPost/mutex_true/comment_rate_1,1,356,3604099,277.46185662491513
DB_ReadPost/mutex_true/comment_rate_1,2,324,3907762,255.90094790829124
DB_ReadPost/mutex_true/comment_rate_1,4,297,4260449,234.7170450813987
DB_ReadPost/mutex_true/comment_rate_1,8,278,4640962,215.47256797189894
DB_ReadPost/mutex_true/comment_rate_1,16,273,4894498,204.31104476904474
DB_ReadPost/mutex_true/comment_rate_1,32,291,5036735,198.54131694440943
DB_ReadPost/mutex_true/comment_rate_1,64,399,5256493,190.2409077687348
DB_ReadPost/mutex_true/comment_rate_1,128,709,5738751,174.25394480436597
DB_ReadPost/mutex_true/comment_rate_1,256,632,5111454,195.63904908466358
DB_ReadPost/mutex_true/comment_rate_1,512,556,2519849,396.84917628000727
DB_ReadPost/mutex_true/comment_rate_1,1024,510,2268528,440.81448410599296
